TELEMETRY CAPTURE RECEIVER LOG
=============================
[ANTENNA-RX-UP] Capture Session Initialized.
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Pause duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Pause duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Pause duration: 300ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Pause duration: 300ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX] Burst duration: 100ms
[ANTENNA-RX] Burst duration: 300ms
[ANTENNA-RX-DOWN] Capture Session Terminated.
